unit,esti,dist,maxcov,re
88,0.017045454545454544,1,12.0,0.4591937033941756
89,0.016853932584269662,1,12.0,0.4576929511429165
90,0.016666666666666666,1,12.0,0.45620896742410677
91,0.016483516483516484,1,12.0,0.454741381651004
92,0.016304347826086956,1,12.0,0.45328983538774353
93,0.01644528779253637,1,13.0,0.4544329980249735
94,0.016270337922403004,1,13.0,0.45301250147806393
95,0.016099071207430343,1,13.0,0.45160703692269194
96,0.015931372549019607,1,13.0,0.4502162895440301
97,0.015767131594906003,1,13.0,0.448839954314597
98,0.0156062424969988,1,13.0,0.4474777355927063
99,0.015448603683897803,1,13.0,0.4461293467413009
100,0.015294117647058824,1,13.0,0.4447945097659429
101,0.015401540154015403,1,14.0,0.44572411328860556
102,0.01525054466230937,1,14.0,0.4444155789494532
103,0.015102481121898596,1,14.0,0.44311981100249476
104,0.014957264957264956,1,14.0,0.4418365627483473
105,0.014814814814814815,1,14.0,0.4405655945701262
106,0.014675052410901467,1,14.0,0.43930667366490406
107,0.014537902388369677,1,14.0,0.43805957378777816
108,0.014619883040935673,1,15.0,0.4388064276456927
109,0.01448575567358764,1,15.0,0.4375823161132518
110,0.014354066985645932,1,15.0,0.43636938383767426
111,0.01422475106685633,1,15.0,0.4351674284752885
112,0.014097744360902255,1,15.0,0.43397625312679494
113,0.013972985561248255,1,15.0,0.4327956661436824
114,0.013850415512465374,1,15.0,0.4316254809431718
115,0.01391304347826087,1,16.0,0.4322246827556758
116,0.013793103448275862,1,16.0,0.43107476075775053
117,0.013675213675213677,1,16.0,0.4299347094566516
118,0.013559322033898305,1,16.0,0.42880436083744955
119,0.013445378151260503,1,16.0,0.4276835511388597
120,0.013333333333333332,1,16.0,0.42657212071085654
121,0.013223140495867768,1,16.0,0.4254699138781962
122,0.013270882123341139,1,17.0,0.4259485742083162
123,0.01316298877274487,1,17.0,0.42486436279077555
124,0.013056835637480798,1,17.0,0.42378893050937755
125,0.012952380952380953,1,17.0,0.4227221363315295
126,0.012849584278155706,1,17.0,0.42166384259600803
127,0.012748406449193853,1,17.0,0.4206139149063517
128,0.012648809523809524,1,17.0,0.4195722220284342
129,0.012684989429175475,1,18.0,0.4199515763633322
130,0.012587412587412588,1,18.0,0.41892597156745076
131,0.012491325468424706,1,18.0,0.4179082258893613
132,0.012396694214876032,1,18.0,0.4168982197970137
133,0.012303485987696513,1,18.0,0.415895836464796
134,0.012211668928086838,1,18.0,0.41490096169244056
135,0.012121212121212121,1,18.0,0.41391348382694493
136,0.01214833759590793,1,19.0,0.41421037238346287
137,0.012059663598857505,1,19.0,0.4132373631885067
138,0.011972274732199117,1,19.0,0.41227143048667025
139,0.0118861432593056,1,19.0,0.4113124720889859
140,0.011801242236024844,1,19.0,0.4103603880041358
141,0.01171754548257786,1,19.0,0.40941508037588487
142,0.011635027556644213,1,19.0,0.4084764534227233
143,0.01155366372757677,1,19.0,0.40754441337962777
144,0.011574074074074075,1,20.0,0.40777883355378064
145,0.011494252873563218,1,20.0,0.40685969382258746
146,0.01141552511415525,1,20.0,0.40594687125285406
147,0.011337868480725625,1,20.0,0.40504027960245687
148,0.011261261261261262,1,20.0,0.40413983438337653
149,0.011185682326621925,1,20.0,0.4032454528144484
150,0.011111111111111112,1,20.0,0.4023570537756935
151,0.011125827814569535,1,21.0,0.40253285149968754
152,0.01105263157894737,1,21.0,0.4016561805867814
153,0.010980392156862745,1,21.0,0.4007852583769333
154,0.010909090909090908,1,21.0,0.3999200099676752
155,0.010838709677419355,1,21.0,0.39906036191097577
156,0.010769230769230769,1,21.0,0.39820624217582745
157,0.01070063694267516,1,21.0,0.39735758011202776
158,0.010710808179162609,1,22.0,0.39748376445002637
159,0.010643444605708756,1,22.0,0.3966458111272998
160,0.010576923076923078,1,22.0,0.395813111464948
161,0.010511227902532252,1,22.0,0.3949855999961588
162,0.010446343779677113,1,22.0,0.3941632124702372
163,0.010382255781028787,1,22.0,0.3933458858226703
